"","x"
"190",3030.47844748613
"191",4172.82355228673
"192",5721.11045701692
"193",6096.91219406993
"194",2490.66219219052
"195",5783.59398530092
"196",2597.13475497459
"197",2964.67825786933
"198",25135.5658444343
"199",5152.17203127258
"200",2600.73374005997
"201",2535.26780597545
"202",6132.51380231899
"203",2286.79831452589
"204",5652.96790961883
"205",5711.93548305613
"206",16428.1378846033
"207",25644.9972096045
"208",4317.31604878601
"209",3933.87090011237
"210",4321.3116950795
"211",2822.05016127421
"212",2770.68130420784
"213",2425.50001567663
"214",6858.39202104485
"215",7937.11429437698
"216",9932.50907984355
"217",5444.01288958447
"218",2868.39459266607
"219",2668.27898177471
"220",5329.59269503038
"221",5706.83202667224
"222",5680.25569448219
"223",10570.7785891221
"224",5465.04561463066
"225",5234.49236088363
"226",6273.74660214288
"227",2938.2953799832
"228",2854.41248467721
"229",2677.78536916319
"230",5414.15890748813
"231",21331.7722098248
"232",5859.35374080996
"233",5822.25092092312
"234",10676.9366180116
"235",2767.9367615753
"236",2610.50492764546
"237",3123.68855159496
"238",4675.64499418934
"239",5414.95338682931
"240",5359.32641113997
"241",5900.49522899764
"242",9622.08911820697
"243",11333.0263140275
"244",6038.53688978792
"245",9263.40007409425
"246",2747.32186118263
"247",6237.29263534696
"248",4358.48045205585
"249",8812.73085601979
"250",2372.31598136657
"251",8884.58813631624
"252",14485.6344298102
"253",4202.40406058474
"254",15713.5035604038
"255",2443.17919006116
"256",2133.57903329158
"257",2884.78567519484
"258",4407.01051129937
"259",13837.2924570724
"260",2793.9388880519
"261",10781.5289920734
"262",15258.0530576812
"263",5576.52801967402
"264",2446.22785959222
"265",2880.61035475839
"266",2785.62438785164
"267",2941.1621791927
"268",5327.63508683532
"269",9239.78912005448
"270",15758.4724880741
"271",5467.79040933388
"272",5709.77711292911
"273",10913.4960500787
"274",5399.74497350924
"275",4777.09356088312
"276",5671.29593506857
"277",3992.69365028619
"278",2864.2372801451
"279",2772.90762802401
"280",6200.09810157906
"281",2587.77282443193
"282",5282.35595229804
"283",4301.50544230939
"284",2764.46289878497
"285",6002.4881377574
"286",11860.4674813496
"287",2676.21651320594
"288",4107.85341796454
"289",2672.40834136936
"290",5208.72557952372
"291",2812.10332441773
"292",8218.79649783747
"293",2786.21771534234
"294",8319.59832218681
"295",2924.08236340818
"296",2482.85320831522
"297",8694.40068200609
"298",5236.16950585979
"299",2722.81565239353
"300",3066.97538476667
